Paper_Name,Paper_ID,Exp_ID,Treatment_ID,Measure_ID,Exp_ID_Cleaned,ES_ID,Title,Authors,Year,Industry,Venue,Exp_Design,Comp_Type,Task_Desc,Marketing_Task,Task_Data_Cleaned,Task_Data_IsCategoric,Task_Data_IsCode,Task_Data_IsImage,Task_Data_IsNumeric,Task_Data_IsText,Task_Data_IsVideo,Task_Output,Task_Output_Cleaned,Task_Type,AI_Type,AI_Data_In,AI_Data_Out,AI_Type_Cleaned,Final_Decision,Division_Labor,Condition_Name,AI_Expl_Incl,AI_Conf_Incl,AI_Expl_Type,Perf_Metric,Perf_Metric_Cleaned,Perf_Dir,N_Exp,N_Human,N_HumanAI,Participant_Type,Participant_Type_2,Participant_Source,Participant_Expert,Participant_Crowdworker,Avg_Perf_Human,Avg_Perf_AI,Avg_Perf_HumanAI,Avg_Perf_Human_Adj,Avg_Perf_AI_Adj,Avg_Perf_HumanAI_Adj,Baseline,Avg_Perf_Baseline_Adj,Avg_Perf_Worse_Adj,Synergy,Sd_Perf_Human,Sd_Perf_AI,Sd_Perf_HumanAI,Sd_Perf_Baseline,Sd_Perf_Worse,Est_ES,Notes,Notes_2,es_s,variance_s,es_h,variance_h,es_a,variance_a,es_n,variance_n
Reverberi_2022,2,1,1,1,2.1,2.1.1.1,Experimental evidence of effective human-AI collaboration in medical decision-making,"Reverberi, C., Rigon, T., Solari, A. et al.",2022,Healthcare,Scientific Reports,"Mixed, Within-Subjects",Dependent Samples,Diagnose lesions from colonoscopy images,Video,Video,No,No,No,No,No,Yes,Categoric,Categoric,Decide,Deep,Video,Categorical,Deep,Human,No,Expert,Yes,No,Image,Accuracy,Accuracy,Up,21,10,10,Endoscopists (expert),Specialists (Expert),Invitation,Yes,No,0.8075,0.7917,0.8204,0.8075,0.7917,0.8204,Human,0.8075,0.7917,1,0.0382,0.0,0.0278,0.03824788,0.0,No,,,0.3695256521658091,0.18658700424510025,0.3698285153548998,0.18659213924161216,,,,
Reverberi_2022,2,1,2,1,2.1,2.1.2.1,Experimental evidence of effective human-AI collaboration in medical decision-making,"Reverberi, C., Rigon, T., Solari, A. et al.",2022,Healthcare,Scientific Reports,"Mixed, Within-Subjects",Dependent Samples,Diagnose lesions from colonoscopy images,Video,Video,No,No,No,No,No,Yes,Categoric,Categoric,Decide,Deep,Video,Categorical,Deep,Human,No,Non-Expert,Yes,No,Image,Accuracy,Accuracy,Up,21,11,11,Endoscopists (non-expert),Specialists (Non-Expert),Invitation,Yes,No,0.8075,0.7917,0.7861,0.8075,0.7917,0.7861,Human,0.8075,0.7917,0,0.0404,0.0,0.0322,0.04044428,0.0,No,,,-0.5631835131564378,0.17494285103997514,-0.5635610703265025,0.17495179909254094,,,,
He_2023b,11,1,1,1,11.1,11.1.1.1,Knowing About Knowing: An Illusion of Human Competence Can Hinder Appropriate Reliance on AI Systems,"He, Gaole; Kuiper, Lucie; Gadiraju, Ujwal",2023,Healthcare,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,"Mixed, Between-Subjects",Independent Samples,Solve logical reasoning task,Text,Text,No,No,No,No,Yes,No,Categoric,Categoric,Decide,Wizard of Oz,Text,Categorical,Wizard of Oz,Human,No,"No tutorial, with xai",Yes,No,Image,Accuracy,Accuracy,Up,249,63,62,Crowdworkers,Crowdworkers,Prolific,No,Yes,0.392,0.6667,0.562,0.392,0.6667,0.562,AI,0.6667,0.392,0,0.203,0.0,0.173,0.0,0.203,No,HAI = Confidence-based time,,,,0.8958380278835414,0.03505810402268301,,,0.8953063591064976,0.034779411924737255
He_2023b,11,1,2,1,11.1,11.1.2.1,Knowing About Knowing: An Illusion of Human Competence Can Hinder Appropriate Reliance on AI Systems,"He, Gaole; Kuiper, Lucie; Gadiraju, Ujwal",2023,Healthcare,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,"Mixed, Between-Subjects",Independent Samples,Solve logical reasoning task,Text,Text,No,No,No,No,Yes,No,Categoric,Categoric,Decide,Wizard of Oz,Text,Categorical,Wizard of Oz,Human,No,"With tutorial, with xai",Yes,No,Image,Accuracy,Accuracy,Up,249,62,62,Crowdworkers,Crowdworkers,Prolific,No,Yes,0.387,0.6667,0.527,0.387,0.6667,0.527,AI,0.6667,0.387,0,0.233,0.0,0.19,0.0,0.233,No,HAI = Confidence-based time with explanation,,,,0.6544879320313428,0.0335678798115595,,,0.6544879320313428,0.0335678798115595
Bulten_2021,22,1,1,1,22.1,22.1.1.1,Artificial intelligence assistance significantly improves Gleason grading of prostate biopsies by pathologists,"Bulten, W; Balkenhol, M; Belinga, JJA; Brilhante, A; Cakir, A; Egevad, L; Eklund, M; Farre, X; Geronatsiou, K; Molinie, V; Pereira, G; Roy, P; Saile, G; Salles, P; Schaafsma, E; Tschui, J; Vos, AM; van Boven, H; Vink, R; van der Laak, J; Hulsbergen-van der Kaa, C; Litjens, G; ISUP Pathology Imagebase Expert Pa",2021,Healthcare,Modern Pathology,Within-Subjects,Dependent Samples,Grade prostrate biopsies,Image,Image,No,No,Yes,No,No,No,Categoric,Categoric,Decide,Deep,Image,Image,Deep,Human,No,,Yes,No,"Image, Numeric",Cohen's Kappa,Accuracy,Up,14,14,14,Pathologists,Specialists (Expert),Not Specified,Yes,No,0.777,0.854,0.852,0.777,0.854,0.852,AI,0.854,0.777,0,0.11,0.0,0.049,0.0,0.11,No,StdDevs received from author,,,,0.8551455896925975,0.1469654131190953,,,0.8551455896925975,0.1469654131190953
Gu_2023,25,1,1,1,25.1,25.1.1.1,Augmenting Pathologists with NaviPath: Design and Evaluation of a Human-AI Collaborative Navigation System,"Gu, Hongyan; Yang, Chunxu; Haeri, Mohammad; Wang, Jing; Tang, Shirley; Yan, Wenzhong; He, Shujin; Williams, Christopher Kazu; Magaki, Shino; Chen, Xiang'Anthony'",2023,Healthcare,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,Within-Subjects,Dependent Samples,Classify images of canine mammary,Image,Image,No,No,Yes,No,No,No,Binary,Binary,Decide,Deep,Image,Deep,Deep,Human,No,HAI = With Navipath,Yes,Yes,"Image, Numeric",Precision,Accuracy,Up,15,15,15,Pathologists,Specialists (Expert),Not Specified,Yes,No,0.4,0.64,0.78,0.4,0.64,0.78,AI,0.64,0.4,1,0.22,0.31,0.17,0.31,0.22,No,HD1-AI-FHD(Lower),,0.544864864864865,0.13090763971718544,1.8806571272214048,0.18202806323713897,0.544864864864865,0.13090763971718544,1.8806571272214048,0.18202806323713897
Gu_2023,25,1,1,2,25.1,25.1.1.2,Augmenting Pathologists with NaviPath: Design and Evaluation of a Human-AI Collaborative Navigation System,"Gu, Hongyan; Yang, Chunxu; Haeri, Mohammad; Wang, Jing; Tang, Shirley; Yan, Wenzhong; He, Shujin; Williams, Christopher Kazu; Magaki, Shino; Chen, Xiang'Anthony'",2023,Healthcare,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,Within-Subjects,Dependent Samples,Classify images of canine mammary,Image,Image,No,No,Yes,No,No,No,Binary,Binary,Decide,Deep,Image,Deep,Deep,Human,No,HAI = With Navipath,Yes,Yes,"Image, Numeric",Recall,Accuracy,Up,15,15,15,Pathologists,Specialists (Expert),Not Specified,Yes,No,0.18,0.51,0.61,0.18,0.51,0.61,AI,0.51,0.18,1,0.19,0.28,0.24,0.28,0.19,No,HD1-AI-FHD(Higher),,0.37311810268250445,0.1284200801757976,1.9329224697754124,0.185172891396577,0.37311810268250445,0.1284200801757976,1.9329224697754124,0.185172891396577
Intharah_2023,26,1,1,1,26.1,26.1.1.1,BiTNet: Hybrid deep convolutional model for ultrasound image analysis of human biliary tract and its applications,"Intharah, T; Wiratchawa, K; Wanna, Y; Junsawang, P; Titapun, A; Techasen, A; Boonrod, A; Laopaiboon, V; Chamadol, N; Khuntikeo, N",2023,Healthcare,Artificial Intelligence in Medicine,Within-Subjects,Dependent Samples,Classify ultrasound images,Image,Image,No,No,Yes,No,No,No,Categoric,Categoric,Decide,Deep,Image,Categorical,Deep,Human,No,HAI = Assisted,Yes,Yes,"Image, Numeric, Text",Accuracy,Accuracy,Up,11,11,11,Physicians,Specialists (Expert),Not Specified,Yes,No,0.5,0.84,0.74,0.5,0.84,0.74,AI,0.84,0.5,0,0.3,0.0,0.17,0.0,0.3,No,HD1-AI-XAI-FHD(Lower),,,,0.946938585156831,0.18713236858575896,,,0.946938585156831,0.18713236858575896
Intharah_2023,26,1,1,2,26.1,26.1.1.2,BiTNet: Hybrid deep convolutional model for ultrasound image analysis of human biliary tract and its applications,"Intharah, T; Wiratchawa, K; Wanna, Y; Junsawang, P; Titapun, A; Techasen, A; Boonrod, A; Laopaiboon, V; Chamadol, N; Khuntikeo, N",2023,Healthcare,Artificial Intelligence in Medicine,Within-Subjects,Dependent Samples,Classify ultrasound images,Image,Image,No,No,Yes,No,No,No,Categoric,Categoric,Decide,Deep,Image,Categorical,Deep,Human,No,HAI = Assisted,Yes,Yes,"Image, Numeric, Text",Precision,Accuracy,Up,11,11,11,Physicians,Specialists (Expert),Not Specified,Yes,No,0.46,0.59,0.62,0.46,0.59,0.62,AI,0.59,0.46,1,0.21,0.0,0.19,0.0,0.21,No,HD1-AI-XAI-FHD(Higher),,,,0.7686600278958601,0.1806990490505913,,,0.7686600278958601,0.1806990490505913
Intharah_2023,26,1,1,3,26.1,26.1.1.3,BiTNet: Hybrid deep convolutional model for ultrasound image analysis of human biliary tract and its applications,"Intharah, T; Wiratchawa, K; Wanna, Y; Junsawang, P; Titapun, A; Techasen, A; Boonrod, A; Laopaiboon, V; Chamadol, N; Khuntikeo, N",2023,Healthcare,Artificial Intelligence in Medicine,Within-Subjects,Dependent Samples,Classify ultrasound images,Image,Image,No,No,Yes,No,No,No,Categoric,Categoric,Decide,Deep,Image,Categorical,Deep,Human,No,HAI = Assisted,Yes,Yes,"Image, Numeric, Text",Recall,Accuracy,Up,11,11,11,Physicians,Specialists (Expert),Not Specified,Yes,No,0.85,0.51,0.94,0.85,0.51,0.94,Human,0.85,0.51,1,0.08,0.0,0.09,0.077280578,0.0,No,AI-FHD(Lower),,1.0321947718022921,0.19068149352195254,1.0168572915140686,0.1900204541359178,,,,
