Moderator,Group,k,g,SE,CI_lower,CI_upper,z,p,sig,tau2,I2,Q,Q_p,Comparison
Industry,Communication,18,0.06198836364437517,0.10233025870347778,-0.13857894341444127,0.26255567070319163,0.6057676823040069,0.5446690328618664,,0.13642536291451146,87.52960065428687,136.32281957228568,0.0,AI Augmentation
Industry,Healthcare,32,-0.04109246832295705,0.1324956172770376,-0.3007838781859507,0.21859894154003662,-0.310142095017649,0.7564529021950279,,0.3640998060475679,87.4864274960243,247.7310135866555,0.0,AI Augmentation
Industry,Public sector,23,-0.48559085851231115,0.187976626170083,-0.8540250458056738,-0.11715667121894846,-2.583251271213603,0.009787401148779518,**,0.7961172646674298,98.72757712448099,1728.984948579003,0.0,AI Augmentation
Task_Type,Create,17,0.38964931442449013,0.15116004808404626,0.09337562017975948,0.6859230086692207,2.577726848881669,0.009945257889041992,**,0.25352372519555233,77.34154973426982,70.61383198037703,7.788774847306001e-09,AI Augmentation
Task_Type,Decide,56,-0.31443134340125267,0.10167379985869991,-0.5137119911243044,-0.11515069567820085,-3.0925503309429794,0.0019844457932458592,**,0.49550807092996924,97.21825616907557,1977.177027897728,0.0,AI Augmentation
AI_Type_Cleaned,Deep,40,0.02356556362499261,0.09350187839018986,-0.1596981180197795,0.20682924526976476,0.2520330503591796,0.8010155176948677,,0.22428905541299515,89.5665792011181,373.79878327326225,0.0,AI Augmentation
AI_Type_Cleaned,Shallow,29,-0.36199192435731853,0.17427543307451931,-0.7035717731833764,-0.020412075531260676,-2.077125375453995,0.03778998909026354,*,0.8217122998602047,98.38432030601645,1733.0167671393165,0.0,AI Augmentation
AI_Type_Cleaned,Simulated-AI,4,-0.3188586817152908,0.09949609846741168,-0.5138710347114177,-0.1238463287191639,-3.20473552859691,0.0013518663465719172,**,0.020798155740290175,54.678346272498416,6.619352457961113,0.08507252881888394,AI Augmentation
Participant_Expert,No,41,-0.23217074012933683,0.11843860187683518,-0.46431039980793376,-3.108045073987875e-05,-1.960262418250869,0.04996512624255778,*,0.5402055029327824,97.86462171667863,1873.2044018816207,0.0,AI Augmentation
Participant_Expert,Yes,32,-0.04109246832295705,0.1324956172770376,-0.3007838781859507,0.21859894154003662,-0.310142095017649,0.7564529021950279,,0.3640998060475679,87.4864274960243,247.7310135866555,0.0,AI Augmentation
AI_Expl_Incl,No,45,-0.14269336062854865,0.11508743057704565,-0.3682647245595581,0.08287800330246081,-1.2398692012940729,0.21502377718661725,,0.5309252985391528,97.62254841342212,1850.7211776006654,0.0,AI Augmentation
AI_Expl_Incl,Yes,28,-0.19695319050594876,0.14508355709168502,-0.48131696240565136,0.08741058139375388,-1.357515589319918,0.17461744348863073,,0.433015099515147,90.7463419720784,291.7765052321072,0.0,AI Augmentation
Task_Output_Cleaned,Binary,29,-0.3927592379665946,0.16236760968625297,-0.7109997529516504,-0.07451872298153883,-2.4189506683354716,0.015565350982448045,*,0.6474072173161552,97.65213930625181,1192.575014120619,0.0,AI Augmentation
Task_Output_Cleaned,Categoric,20,-0.054185110390926695,0.1556705415659787,-0.35929937186024496,0.25092915107839153,-0.3480755565301423,0.727783440930216,,0.4197980411134792,97.01131715084854,635.7315566418979,0.0,AI Augmentation
Task_Output_Cleaned,Numeric,7,-0.7036208551950315,0.14884206398810004,-0.9953513006117076,-0.4118904097783554,-4.727298428563085,2.2752674575521326e-06,***,0.13412258346084577,86.85254916969276,45.636223154141206,3.497595479906579e-08,AI Augmentation
Task_Output_Cleaned,Open Response,17,0.38964931442449013,0.15116004808404626,0.09337562017975948,0.6859230086692207,2.577726848881669,0.009945257889041992,**,0.25352372519555233,77.34154973426982,70.61383198037703,7.788774847306001e-09,AI Augmentation
Baseline,AI,56,-0.4125013426790403,0.08541380202366315,-0.5799123946454201,-0.24509029071266053,-4.829445978353245,1.3691345155386614e-06,***,0.33861472211509047,95.83694039782392,1321.1437081335775,0.0,AI Augmentation
Baseline,Human,17,0.8327723435303942,0.17292835159903736,0.493832774396281,1.1717119126645075,4.8157074061592455,1.466793204007999e-06,***,0.33123736966032463,84.0830680780767,100.52188498690688,2.7644553313166398e-14,AI Augmentation
Comp_Type,Dependent Samples,43,-0.1313588900517655,0.12372433618522247,-0.3738585889748015,0.11114080887127054,-1.0617061614710437,0.2883691013262948,,0.5153869582685039,96.89084800341911,1350.8506514376588,0.0,AI Augmentation
Comp_Type,Independent Samples,30,-0.18843810815867112,0.13838982589486512,-0.45968216691260677,0.08280595059526452,-1.3616471221072837,0.17330927639476457,,0.5308574044345681,96.309680948963,785.839912455561,0.0,AI Augmentation
Year,2020,20,-0.25754184333976093,0.15143381032520997,-0.5543521115771725,0.03926842489765059,-1.7006891841833727,0.08900136716511953,,0.34728721497237997,91.41707004422078,221.36962666468645,0.0,AI Augmentation
Year,2021,20,-0.011815792759543201,0.24478477408942817,-0.4915939499748224,0.467962364455736,-0.04827012955971882,0.9615009599518216,,1.0711667802451401,98.43823183011902,1216.5698063527525,0.0,AI Augmentation
Year,2022,11,-0.22637905122823568,0.08508977122654289,-0.39315500283225974,-0.05960309962421162,-2.660473144598361,0.007803094972363089,**,0.03548973405488814,67.29785187379089,30.579030959698656,0.0006883661714555123,AI Augmentation
Year,2023,21,-0.2154078214837304,0.18135243790178873,-0.5708585997712363,0.14004295680377554,-1.1877856398069726,0.2349178733850814,,0.6120651072162023,96.89542336670279,644.2102213066983,0.0,AI Augmentation
