,,g,g,g,k,k,k,p,p,p
Comparison,,AI Augmentation,Human Augmentation,Strong Synergy,AI Augmentation,Human Augmentation,Strong Synergy,AI Augmentation,Human Augmentation,Strong Synergy
Moderator,Group,,,,,,,,,
AI_Expl_Incl,No,-0.14269336062854865,0.5152374722061119,-0.1277898020657994,45.0,115.0,72.0,0.21502377718661725,0.0,0.06441238415128603
AI_Expl_Incl,Yes,-0.19695319050594876,0.4839851299641984,-0.05423254629726623,28.0,161.0,70.0,0.17461744348863073,0.0,0.3979694362146131
AI_Type_Cleaned,Deep,0.02356556362499261,0.3976018270417661,-0.027481032482443046,40.0,130.0,86.0,0.8010155176948677,0.0,0.5835050267481656
AI_Type_Cleaned,Rule-Based,,0.5595386868490165,0.2559580917037539,,52.0,9.0,,0.0,0.004049570594746976
AI_Type_Cleaned,Shallow,-0.36199192435731853,0.44652147184982316,-0.3467275040217588,29.0,46.0,36.0,0.03778998909026354,6.853122513916787e-10,0.0028079534996749977
AI_Type_Cleaned,Simulated-AI,-0.3188586817152908,0.6728411021595608,-0.31972740262837995,4.0,12.0,5.0,0.0013518663465719172,2.7346329083410836e-06,4.6869415950556714e-05
AI_Type_Cleaned,Wizard of Oz,,0.7450397296598831,0.2880946507170107,,36.0,6.0,,3.7104319616787507e-11,0.13503894743090705
Baseline,AI,-0.4125013426790403,0.6610987981077548,-0.37109710154229225,56.0,193.0,59.0,1.3691345155386614e-06,0.0,8.806151858165023e-06
Baseline,Human,0.8327723435303942,0.06372843008784584,0.0672110039938272,17.0,83.0,83.0,1.466793204007999e-06,0.10529104263997358,0.08150199273424197
Comp_Type,Dependent Samples,-0.1313588900517655,0.5833844836074827,-0.09387941216100805,43.0,132.0,67.0,0.2883691013262948,0.0,0.2007237612469066
Comp_Type,Independent Samples,-0.18843810815867112,0.4347112989429413,-0.09286251571479122,30.0,144.0,75.0,0.17330927639476457,0.0,0.15777810777444734
Industry,Business,,0.7062120264384504,0.11517196916720165,,46.0,8.0,,0.0,0.23445242043973558
Industry,Communication,0.06198836364437517,0.273681605764357,-0.01690923798592818,18.0,86.0,53.0,0.5446690328618664,3.211404475678137e-10,0.7517983725991773
Industry,Healthcare,-0.04109246832295705,0.6466498720104412,0.01930997827903738,32.0,105.0,52.0,0.7564529021950279,0.0,0.8305081829873924
Industry,Public sector,-0.48559085851231115,0.431838533740332,-0.4388838406955761,23.0,39.0,29.0,0.009787401148779518,3.981279750320255e-09,0.000384258393136383
Participant_Expert,No,-0.23217074012933683,0.45748324692558523,-0.1296817146341519,41.0,182.0,94.0,0.04996512624255778,0.0,0.021915691433624263
Participant_Expert,Yes,-0.04109246832295705,0.6021105863240662,0.014953104013754425,32.0,94.0,48.0,0.7564529021950279,0.0,0.8804287033815152
Task_Output_Cleaned,Binary,-0.3927592379665946,0.374665950350167,-0.15165078049739883,29.0,125.0,64.0,0.015565350982448045,0.0,0.026465761513461583
Task_Output_Cleaned,Categoric,-0.054185110390926695,0.5081843552199566,0.038507184212406065,20.0,103.0,48.0,0.727783440930216,0.0,0.6784800513617109
Task_Output_Cleaned,Numeric,-0.7036208551950315,0.9196833220082675,-0.7036208551950315,7.0,24.0,7.0,2.2752674575521326e-06,0.0,2.2752674575521326e-06
Task_Output_Cleaned,Open Response,0.38964931442449013,0.48162352860569824,0.04565409660075861,17.0,24.0,23.0,0.009945257889041992,0.00021105242848973305,0.6412666709847452
Task_Type,Create,0.38964931442449013,0.48162352860569824,0.04565409660075861,17.0,24.0,23.0,0.009945257889041992,0.00021105242848973305,0.6412666709847452
Task_Type,Decide,-0.31443134340125267,0.49886062823767485,-0.11623592504205663,56.0,252.0,119.0,0.0019844457932458592,0.0,0.029669025266386706
Year,2020,-0.25754184333976093,0.41789433113987107,-0.1721636567989199,20.0,62.0,37.0,0.08900136716511953,3.306324103391489e-10,0.05627048511449528
Year,2021,-0.011815792759543201,0.4473645641585805,-0.11238693435125362,20.0,91.0,34.0,0.9615009599518216,0.0,0.3304041587050053
Year,2022,-0.22637905122823568,0.45034408093886197,-0.05346426040358454,11.0,65.0,38.0,0.007803094972363089,8.86757334228605e-12,0.30872857060767167
Year,2023,-0.2154078214837304,0.7606965205258329,-0.03807867520440442,21.0,54.0,32.0,0.2349178733850814,0.0,0.7860295305551308
Year,2024,,0.5924737657702714,,,4.0,,,5.17272791533685e-06,
