Grouping,Group,Comparison,k,n_papers,g,SE,CI_lower,CI_upper,p_value,I2,tau2
Task_Type,Create,Human Augmentation,24,6,0.48162352860569824,0.12997861347931805,0.2268654461862349,0.7363816110251615,0.00021105242848973305,88.43827677840956,0.30401541458620424
Task_Type,Create,AI Augmentation,17,6,0.38964931442449013,0.15116004808404626,0.09337562017975948,0.6859230086692207,0.009945257889041992,77.34154973426982,0.25352372519555233
Task_Type,Create,Strong Synergy,23,6,0.04565409660075861,0.09798519583884285,-0.14639688724337338,0.2377050804448906,0.6412666709847452,65.32509791141158,0.1277650698623764
Task_Type,Decide,Human Augmentation,252,61,0.49886062823767485,0.031974939005952864,0.4361897477860072,0.5615315086893424,0.0,90.86702930589165,0.201376052237144
Task_Type,Decide,AI Augmentation,56,61,-0.31443134340125267,0.10167379985869991,-0.5137119911243044,-0.11515069567820085,0.0019844457932458592,97.21825616907557,0.49550807092996924
Task_Type,Decide,Strong Synergy,119,61,-0.11623592504205663,0.053454558171494436,-0.22100685905818573,-0.011464991025927532,0.029669025266386706,93.58485664137889,0.2756962653980186
Industry,Business,Human Augmentation,46,12,0.7062120264384504,0.06610874853179136,0.5766388793161393,0.8357851735607614,0.0,91.39508041221023,0.1733271062361217
Industry,Business,Strong Synergy,8,12,0.11517196916720165,0.09686720651434794,-0.07468775560092031,0.3050316939353236,0.23445242043973558,73.99738908897376,0.05273303439799862
Industry,Communication,Human Augmentation,86,16,0.273681605764357,0.043522951755696926,0.18837662032319102,0.358986591205523,3.211404475678137e-10,86.42600779464605,0.12746585488584078
Industry,Communication,AI Augmentation,18,16,0.06198836364437517,0.10233025870347778,-0.13857894341444127,0.26255567070319163,0.5446690328618664,87.52960065428687,0.13642536291451146
Industry,Communication,Strong Synergy,53,16,-0.01690923798592818,0.05346474160917342,-0.1217001315399081,0.08788165556805173,0.7517983725991773,83.88168789927957,0.1134817844434008
Industry,Healthcare,Human Augmentation,105,33,0.6466498720104412,0.06028289822302239,0.5284953914933174,0.7648043525275651,0.0,84.38793693193384,0.25048505086597717
Industry,Healthcare,AI Augmentation,32,33,-0.04109246832295705,0.1324956172770376,-0.3007838781859507,0.21859894154003662,0.7564529021950279,87.4864274960243,0.3640998060475679
Industry,Healthcare,Strong Synergy,52,33,0.01930997827903738,0.09021252875665074,-0.15750657808399807,0.19612653464207283,0.8305081829873924,80.50991358216349,0.2580825817377804
Industry,Public sector,Human Augmentation,39,10,0.431838533740332,0.07337991320882258,0.28801390385103975,0.5756631636296242,3.981279750320255e-09,94.60175500366896,0.19246502718271732
Industry,Public sector,AI Augmentation,23,10,-0.48559085851231115,0.187976626170083,-0.8540250458056738,-0.11715667121894846,0.009787401148779518,98.72757712448099,0.7961172646674298
Industry,Public sector,Strong Synergy,29,10,-0.4388838406955761,0.12360607762780848,-0.6811517528460808,-0.1966159285450715,0.000384258393136383,97.54548465315146,0.42657980390831296
