moderator,level,k,estimate,se,ci_lower,ci_upper,p_value,I2,tau2,Q,Q_pval,Q_between,Q_between_df,Q_between_pval,comparison
Industry,Business,46,-0.9264769134890131,0.15496525979323006,-1.230208822683744,-0.6227450042942821,2.250490682698114e-09,98.85441427157717,1.0719890118328685,3928.121561181906,0.0,885.6640434037145,3,0.0,Strong Synergy
Industry,Communication,86,-0.48661780455231224,0.14653931143884816,-0.7738348549724546,-0.19940075413216984,0.000897816523692363,98.95135220772342,1.8024541327625583,8105.676722540748,0.0,885.6640434037145,3,0.0,Strong Synergy
Industry,Healthcare,107,-0.3063446285185031,0.09081547579780205,-0.4843429610821951,-0.12834629595481106,0.0007428253529786488,93.86109587089958,0.7343185552004906,1726.6925459468416,0.0,885.6640434037145,3,0.0,Strong Synergy
Industry,Public sector,39,-0.7025323770253408,0.13029881613315655,-0.9579180566463277,-0.4471466974043539,6.979347433322403e-08,98.62221897693142,0.6364575240349505,2758.0580196529845,0.0,885.6640434037145,3,0.0,Strong Synergy
Task_Type,Create,26,0.37166883401154266,0.20164785758752143,-0.023560966859999366,0.7668986348830846,0.06530596526928445,94.88753005676537,0.9429130847766344,489.0004298818954,0.0,586.5903871759401,1,0.0,Strong Synergy
Task_Type,Decide,252,-0.6192672450914303,0.06885065052929114,-0.7542145201288409,-0.4843199700540196,0.0,98.46282191579398,1.1196408680097776,16328.622075668358,0.0,586.5903871759401,1,0.0,Strong Synergy
AI_Type_Cleaned,Deep,132,-0.20441352014818032,0.10156801760879888,-0.4034868346614261,-0.005340205634934508,0.0441590823036484,97.75067198313279,1.2507293267413404,5823.961601761077,0.0,4675.469188974508,4,0.0,Strong Synergy
AI_Type_Cleaned,Rule-Based,52,-1.2469255699530117,0.11529209732952143,-1.4728980807188736,-1.0209530591871498,0.0,98.11386654614331,0.6636396112983057,2703.944405191327,0.0,4675.469188974508,4,0.0,Strong Synergy
AI_Type_Cleaned,Shallow,46,-0.506354349025682,0.12150381418734352,-0.7445018248328753,-0.2682068732184887,3.081007831506888e-05,98.38887529970445,0.6339517472076511,2793.079889579315,0.0,4675.469188974508,4,0.0,Strong Synergy
AI_Type_Cleaned,Simulated-AI,12,-1.2902737507823736,0.316493277463092,-1.9106005746100339,-0.6699469269547133,4.5663481680557894e-05,98.08999141577222,1.1695269640339447,575.9136420032024,0.0,4675.469188974508,4,0.0,Strong Synergy
AI_Type_Cleaned,Wizard of Oz,36,-0.43455110821433823,0.14888620576874254,-0.7263680715210736,-0.1427341449076029,0.0035151749330062376,95.79248115650608,0.7043006526695932,831.8441652167654,0.0,4675.469188974508,4,0.0,Strong Synergy
Participant_Expert,No,182,-0.6476395542573513,0.08233650074970252,-0.8090190957267682,-0.4862600127879344,3.774758283725532e-15,98.85975856726716,1.200355308357451,15873.831173297429,0.0,57.95364674548546,1,2.6867397195928788e-14,Strong Synergy
Participant_Expert,Yes,96,-0.278045051668477,0.098890840962554,-0.4718710999550828,-0.08421900338187113,0.004929024342669619,93.54807193896563,0.7685266204872535,1472.428072683281,0.0,57.95364674548546,1,2.6867397195928788e-14,Strong Synergy
AI_Expl_Incl,No,115,-0.6111778233368022,0.09650207648144506,-0.8003218932404345,-0.42203375343316984,2.399525023122351e-10,98.53617163191213,1.0097582831987422,7787.798247748952,0.0,17.3344542977502,1,3.13451867729464e-05,Strong Synergy
AI_Expl_Incl,Yes,163,-0.47052198029676706,0.09269638456545773,-0.6522068940450643,-0.2888370665484699,3.855697781052214e-07,98.31233829927477,1.3084089462589916,9599.080190679491,0.0,17.3344542977502,1,3.13451867729464e-05,Strong Synergy
Year,2020,62,-0.835200472164362,0.14358771549522187,-1.1166323945349967,-0.5537685497937271,6.003620045547109e-09,97.8088114851053,1.207747411066931,2783.8773152264216,0.0,451.62182505556484,4,0.0,Strong Synergy
Year,2021,93,-0.5577471184792087,0.10542642899898001,-0.7643829193172095,-0.35111131764120784,1.2205459243297412e-07,98.66218176731283,0.9759495605819161,6876.8684528395825,0.0,451.62182505556484,4,0.0,Strong Synergy
Year,2022,65,-0.6343589685303961,0.15877562792606864,-0.9455591992654906,-0.3231587377953016,6.46077411015078e-05,98.73702075410934,1.565020309666699,5067.3833483990675,0.0,451.62182505556484,4,0.0,Strong Synergy
Year,2023,54,0.013210188384471884,0.1450892676229859,-0.27116477615658047,0.2975851529255243,0.9274538991917634,97.61425637104888,1.0235753466205677,2221.529562390631,0.0,451.62182505556484,4,0.0,Strong Synergy
Year,2024,4,-0.6654335618044386,0.2902594322163068,-1.2343420489483998,-0.09652507466047733,0.021874064695030837,0.0,0.0,2.932388814927739,0.40216739137713575,451.62182505556484,4,0.0,Strong Synergy
