excluded,k,estimate,se,ci_lower,ci_upper,p_value,I2,comparison
5,277,-0.5226742957280006,0.06616134375252988,-0.6523505294829592,-0.39299806197304205,2.886579864025407e-15,98.38213123557807,Strong Synergy
5,277,-0.5246485641420535,0.06656170770330382,-0.655109511240529,-0.3941876170435781,3.1086244689504383e-15,98.39987212172508,Strong Synergy
5,277,-0.5250859018322568,0.06663208334239228,-0.6556847851833456,-0.39448701848116796,3.3306690738754696e-15,98.40339000359587,Strong Synergy
5,277,-0.5235191255706776,0.06634388454216711,-0.6535531392733251,-0.39348511186803004,3.1086244689504383e-15,98.3905196024398,Strong Synergy
5,277,-0.523526732904735,0.06640096649569718,-0.6536726272363014,-0.39338083857316847,3.1086244689504383e-15,98.40026394346285,Strong Synergy
5,277,-0.5238191776383873,0.06643426025688648,-0.6540303277418847,-0.39360802753488977,3.1086244689504383e-15,98.40156589770493,Strong Synergy
5,277,-0.5258342281332924,0.0666309639827807,-0.6564309175395426,-0.3952375387270422,2.886579864025407e-15,98.41028352544792,Strong Synergy
5,277,-0.5231328601820261,0.06635159250246364,-0.6531819814868548,-0.3930837388771974,3.1086244689504383e-15,98.39788005132954,Strong Synergy
5,277,-0.5260501692775653,0.0666945711573544,-0.6567715287459799,-0.3953288098091507,3.1086244689504383e-15,98.4101717390721,Strong Synergy
5,277,-0.5261159656158806,0.06669874977759664,-0.65684551517997,-0.39538641605179115,3.1086244689504383e-15,98.4104382588961,Strong Synergy
5,277,-0.5258761005731472,0.06667838556934357,-0.6565657362890606,-0.39518646485723374,3.1086244689504383e-15,98.40949811970201,Strong Synergy
5,277,-0.524959624601885,0.06657649649308882,-0.6554495577283391,-0.394469691475431,3.1086244689504383e-15,98.40534109020643,Strong Synergy
6,277,-0.5345864944191626,0.06625250912679338,-0.6644414123076776,-0.4047315765306476,6.661338147750939e-16,98.39435417445006,Strong Synergy
6,277,-0.534229458710032,0.06629411931469399,-0.6641659325668322,-0.40429298485323184,6.661338147750939e-16,98.39644765767777,Strong Synergy
6,277,-0.5335758393070089,0.06636184263124152,-0.6636450508642423,-0.4035066277497755,8.881784197001252e-16,98.39959642102988,Strong Synergy
6,277,-0.5353793405914263,0.06616113011674331,-0.6650551556202432,-0.40570352556260947,6.661338147750939e-16,98.38998849330657,Strong Synergy
7,277,-0.5261644783058649,0.06647494559186906,-0.6564553716659283,-0.3958735849458015,2.4424906541753444e-15,98.41389619715946,Strong Synergy
9,277,-0.5232298744287066,0.0662998831759568,-0.6531776454535819,-0.3932821034038313,2.886579864025407e-15,98.38989955986358,Strong Synergy
9,277,-0.5228286930468551,0.06621950060634527,-0.6526189142352918,-0.39303847185841834,2.886579864025407e-15,98.38617240674185,Strong Synergy
9,277,-0.5279990845013299,0.0668523955364428,-0.6590297797527578,-0.3969683892499021,2.886579864025407e-15,98.41416550104847,Strong Synergy
