comparison,term,estimate,se,ci_lower,ci_upper,t_value,p_value
Strong Synergy,intrcpt,-0.2942766604079753,0.33085471599973854,-0.9427519037674628,0.3541985829515122,-0.8894437533367602,0.3737646393209699
Strong Synergy,IndustryBusiness,0.33877781269378493,0.36158068213339356,-0.3699203242876664,1.0474759496752362,0.9369355981490287,0.3487916865100802
Strong Synergy,IndustryCommunication,0.2851563696937401,0.31350884207985746,-0.32932096078278056,0.8996337001702608,0.9095640422833899,0.363052469061667
Strong Synergy,IndustryPublic sector,-0.7180193672496988,0.37039549878669925,-1.4439945448716294,0.007955810372231698,-1.938520769290414,0.052559719415791184
Strong Synergy,Task_TypeCreate,0.7232222541689107,0.22469073210933757,0.2828284192346091,1.1636160891032123,3.2187453722700985,0.0012875276059547414
Strong Synergy,AI_Type_CleanedRule-Based,-1.0926433716932455,0.20368554199205088,-1.4918670339976652,-0.6934197093888258,-5.364363916099099,8.123497696743698e-08
Strong Synergy,AI_Type_CleanedShallow,0.35180248597794944,0.2824675621113355,-0.20183393576026815,0.9054389077161671,1.245461543790594,0.21296214293748372
Strong Synergy,AI_Type_CleanedSimulated-AI,-1.3646487745576745,0.32353960797886405,-1.9987864061962481,-0.730511142919101,-4.217872374521834,2.4661833219585816e-05
Strong Synergy,AI_Type_CleanedWizard of Oz,-0.14057512197896704,0.22876966933504353,-0.5889636738756523,0.30781342991771826,-0.6144832153124653,0.5388960612084004
Strong Synergy,Participant_ExpertYes,0.058677062256545405,0.2855265306194307,-0.5009549377575386,0.6183090622706295,0.2055047638804333,0.837177776490651
Strong Synergy,AI_Expl_InclYes,0.09380174028138566,0.12683434209661537,-0.15479357022798046,0.3423970507907518,0.739561058391683,0.459566377941937
Strong Synergy,Year_c,0.31994571749470124,0.060486874348970494,0.20139144377071908,0.43849999121868344,5.289506540688803,1.2264679671858403e-07
Human Augmentation,intrcpt,0.6752504275296538,0.15733187712475974,0.3668799483651247,0.9836209066941829,4.291885661506468,1.77162173529144e-05
Human Augmentation,IndustryBusiness,-0.05902421847288702,0.1699236788866459,-0.39207462909071294,0.2740261921449389,-0.34735723037318056,0.7283229604724095
Human Augmentation,IndustryCommunication,-0.4010307316170788,0.14904732697470294,-0.6931634924874965,-0.10889797074666108,-2.690626794569377,0.007131792792367753
Human Augmentation,IndustryPublic sector,-0.2295174067664662,0.178964900008869,-0.5802886107838494,0.121253797250917,-1.2824716285433175,0.19967725131765168
Human Augmentation,Task_TypeCreate,0.1587611535969254,0.11500954643028542,-0.06665755740643403,0.3841798646002848,1.3804171786136084,0.16745823393511516
Human Augmentation,AI_Type_CleanedRule-Based,0.1318064450385121,0.09261339530204687,-0.04971580975349976,0.31332869983052397,1.4231898594003822,0.15468112445880933
Human Augmentation,AI_Type_CleanedShallow,-0.02184575206046014,0.1424901006155883,-0.3011263492670132,0.25743484514609294,-0.15331417386949497,0.8781505236848148
Human Augmentation,AI_Type_CleanedSimulated-AI,0.2099258614451728,0.1495410108100789,-0.0831745197425818,0.5030262426329274,1.4038012736973158,0.16037803459818267
Human Augmentation,AI_Type_CleanedWizard of Oz,0.07648954853463892,0.1140202740885482,-0.14699018867891556,0.29996928574819337,0.6708416476462519,0.5023214127760907
Human Augmentation,Participant_ExpertYes,-0.06330381447040714,0.1356060170170687,-0.3290916078238618,0.2024839788830475,-0.46682157519927087,0.6406275383974982
Human Augmentation,AI_Expl_InclYes,-0.0034357627295297597,0.0603523514255077,-0.12172637152352485,0.11485484606446532,-0.05692839878443655,0.9546022320320058
Human Augmentation,Year_c,0.06605343552942497,0.028689809160901015,0.009821409574058984,0.12228546148479096,2.302330948211526,0.021316515807425773
AI Augmentation,intrcpt,1.437931338699923,0.4822953705281578,0.49263241246473377,2.3832302649351123,2.981433010906275,0.0028690280793830514
AI Augmentation,IndustryBusiness,-0.13806880625022594,0.5278897151874395,-1.1727326480176075,0.8965950355171555,-0.2615485816032642,0.7936694901774595
AI Augmentation,IndustryCommunication,0.8226526588794458,0.4546377638563892,-0.06843735827907704,1.7137426760379686,1.8094683818199164,0.07037826794657875
AI Augmentation,IndustryPublic sector,-1.7722764513379228,0.5369996776869532,-2.824795819604351,-0.7197570830714946,-3.300330568114569,0.0009657100530024998
AI Augmentation,Task_TypeCreate,-0.20082132600606517,0.3266465149647606,-0.841048495336996,0.43940584332486565,-0.6147970873888866,0.5386887330405321
AI Augmentation,AI_Type_CleanedRule-Based,-2.1786191222101228,0.301258456309922,-2.76908569657757,-1.5881525478426757,-7.2317276961973525,4.769518113789672e-13
AI Augmentation,AI_Type_CleanedShallow,-0.17461456952140947,0.4030944160453568,-0.9646796249703087,0.6154504859274899,-0.4331852850617548,0.6648801681936014
AI Augmentation,AI_Type_CleanedSimulated-AI,-3.138448693239459,0.4755304575556407,-4.0704883900485145,-2.2064089964304032,-6.599889961564106,4.114619756023785e-11
AI Augmentation,AI_Type_CleanedWizard of Oz,-0.8221656624637217,0.33071870154679617,-1.470374317495442,-0.17395700743200126,-2.4859968868358253,0.01291890957388997
AI Augmentation,Participant_ExpertYes,-0.8950628967847942,0.4152258840926701,-1.7089056296064276,-0.0812201639631609,-2.1556047709805926,0.031114539702140176
AI Augmentation,AI_Expl_InclYes,0.02542836080263052,0.18558287596650422,-0.33831407609171776,0.38917079769697877,0.1370188961142087,0.8910158590405528
AI Augmentation,Year_c,0.5113280138280756,0.08766972505547463,0.3394953527193453,0.6831606749368059,5.832435467369418,5.462413410484146e-09
